pickup_datetime,duration,pickup_x,pickup_y,dropoff_x,dropoff_y,weekday,hour_,day_,distance,month_,speed
"2034-05-08 14:00:12",640,179,354,160,363,2,14,8,21,5,118
"2034-05-27 22:08:42",1129,160,364,148,325,7,22,27,41,5,131
"2034-04-20 08:15:30",270,155,360,152,353,5,8,20,8,4,107
"2034-05-17 21:47:13",364,139,324,125,319,4,21,17,15,5,148
"2034-04-28 09:33:38",895,179,360,162,333,6,9,28,32,4,129
"2034-02-11 15:18:33",1077,173,375,154,364,7,15,11,22,2,74
"2034-02-20 05:30:39",858,158,347,179,433,2,5,20,89,2,373
"2034-02-04 12:23:08",91,154,345,151,341,7,12,4,5,2,198
"2034-02-02 06:08:26",439,183,369,179,396,5,6,2,27,2,221
"2034-05-24 20:33:43",791,155,336,133,306,4,20,24,37,5,168
"2034-05-23 11:55:51",1032,157,344,119,285,3,11,23,70,5,244
"2034-02-06 22:33:05",225,159,334,160,326,2,22,6,8,2,128
"2034-04-04 12:05:07",632,144,345,137,329,3,12,4,17,4,97
"2034-05-03 05:34:26",161,163,329,152,315,4,5,3,18,5,402
"2034-01-14 14:51:09",1743,188,368,77,421,7,14,14,123,1,254
"2034-03-22 18:53:33",1412,165,368,157,322,4,18,22,47,3,120
"2034-04-11 20:04:07",743,150,310,175,340,3,20,11,39,4,189
"2034-04-23 14:46:05",385,152,326,161,322,1,14,23,10,4,94
"2034-05-20 09:19:11",1395,160,332,129,292,7,9,20,51,5,132
"2034-01-29 19:37:44",414,133,296,151,307,1,19,29,21,1,183
"2034-05-05 21:27:16",430,155,332,150,348,6,21,5,17,5,142
"2034-06-11 23:47:46",810,158,312,125,302,1,23,11,34,6,151
"2034-03-28 16:34:10",404,149,328,130,318,3,16,28,21,3,187
"2034-01-17 13:05:52",623,158,338,179,341,3,13,17,21,1,121
"2034-03-01 14:07:03",423,170,373,174,357,4,14,1,16,3,136
"2034-01-25 19:06:20",563,177,347,155,356,4,19,25,24,1,153
"2034-02-21 22:15:16",89,154,353,157,361,3,22,21,9,2,364
"2034-06-27 22:37:41",903,161,343,181,380,3,22,27,42,6,167
"2034-05-17 08:08:03",1094,159,340,136,315,4,8,17,34,5,112
"2034-01-21 17:41:43",1575,127,430,149,356,7,17,21,77,1,176
"2034-01-15 20:50:19",644,132,314,145,307,1,20,15,15,1,84
"2034-06-25 10:13:12",469,153,356,135,354,1,10,25,18,6,138
"2034-01-31 11:16:16",1232,115,447,157,331,3,11,31,123,1,359
"2034-04-24 23:57:38",747,114,448,142,340,2,23,24,112,4,540
"2034-03-13 04:32:45",237,130,321,138,320,2,4,13,8,3,122
"2034-02-07 06:06:16",1370,139,390,154,324,3,6,7,68,2,179
"2034-03-01 20:56:32",756,155,351,155,326,4,20,1,25,3,119
"2034-04-06 20:54:36",948,158,340,160,310,5,20,6,30,4,114
"2034-07-07 23:05:31",730,156,344,140,339,6,23,7,17,7,84
"2034-04-25 21:34:38",1687,-37,468,84,296,3,21,25,210,4,448
"2034-07-05 07:24:07",128,177,362,166,365,4,7,5,11,7,309
"2034-02-21 19:54:06",590,132,307,155,315,3,19,21,24,2,146
"2034-04-30 00:26:32",1189,156,321,159,341,1,0,30,20,4,61
"2034-03-03 11:34:46",226,165,342,160,337,6,11,3,7,3,112
"2034-04-22 23:01:47",624,123,289,133,309,7,23,22,22,4,127
"2034-04-24 20:18:22",232,162,341,171,332,2,20,24,13,4,202
"2034-02-18 13:20:55",3,155,344,155,343,7,13,18,1,2,1200
"2034-02-02 21:42:25",562,147,322,176,349,5,21,2,40,2,256
"2034-01-27 16:41:34",715,165,371,141,340,6,16,27,39,1,196
"2034-06-21 17:10:58",2408,-30,464,152,357,4,17,21,211,6,315
"2034-04-14 22:56:58",1937,168,339,111,305,6,22,14,66,4,123
"2034-04-16 16:25:04",1057,124,303,157,368,1,16,16,73,4,249
"2034-04-02 01:40:18",517,134,318,154,361,1,1,2,47,4,327
"2034-04-28 16:16:18",284,-29,457,-31,464,6,16,28,7,4,89
"2034-05-29 07:33:17",342,158,378,171,376,2,7,29,13,5,137
"2034-02-20 20:05:01",287,158,371,171,399,2,20,20,31,2,389
"2034-06-09 09:43:25",1334,157,323,124,282,6,9,9,53,6,143
"2034-05-01 21:52:26",344,141,318,153,306,2,21,1,17,5,178
"2034-01-17 19:31:23",473,135,328,149,338,3,19,17,17,1,129
"2034-04-11 03:07:28",795,166,334,163,330,3,3,11,5,4,23
"2034-04-18 20:05:00",191,142,322,142,327,3,20,18,5,4,94
"2034-05-30 00:02:29",468,136,318,128,285,3,0,30,34,5,262
"2034-04-04 18:29:24",902,129,306,165,316,3,18,4,37,4,148
"2034-04-24 10:54:50",314,162,322,168,329,2,10,24,9,4,103
"2034-04-26 17:27:10",257,191,371,200,388,4,17,26,19,4,266
"2034-03-19 17:07:58",141,179,359,177,351,1,17,19,8,3,204
"2034-06-08 15:18:19",996,163,371,179,356,5,15,8,22,6,80
"2034-06-05 22:53:47",462,155,332,141,335,2,22,5,14,6,109
"2034-06-19 22:03:41",746,157,331,137,304,2,22,19,34,6,164
"2034-01-23 09:25:37",1795,-25,447,175,344,2,9,23,225,1,451
"2034-02-20 03:49:24",326,127,309,145,314,2,3,20,19,2,210
"2034-04-02 11:45:29",483,167,324,148,317,1,11,2,20,4,149
"2034-06-05 11:36:24",359,146,302,142,318,2,11,5,16,6,160
"2034-05-04 18:45:03",983,165,333,147,318,5,18,4,23,5,84
"2034-06-25 00:08:31",521,133,324,150,357,1,0,25,37,6,256
"2034-04-12 09:48:44",481,173,348,160,370,4,9,12,26,4,195
"2034-03-17 12:19:14",266,154,323,145,307,6,12,17,18,3,244
"2034-02-24 20:38:55",745,151,364,129,312,6,20,24,56,2,271
"2034-01-14 06:00:11",937,149,359,120,443,7,6,14,89,1,342
"2034-07-14 06:37:20",1112,151,347,121,441,6,6,14,99,7,321
"2034-04-07 09:12:17",890,167,365,126,325,6,9,7,57,4,231
"2034-05-26 14:48:32",200,178,349,182,361,6,14,26,13,5,234
"2034-05-23 17:21:20",412,142,326,155,321,3,17,23,14,5,122
"2034-02-23 10:26:10",2177,114,447,158,332,5,10,23,123,2,203
"2034-04-11 20:14:51",412,144,319,155,337,3,20,11,21,4,183
"2034-05-02 07:07:45",186,165,338,158,347,3,7,2,11,5,213
"2034-03-13 12:55:43",247,169,326,155,325,2,12,13,14,3,204
"2034-03-03 22:15:58",1648,168,331,96,297,6,22,3,80,3,175
"2034-04-27 07:50:21",441,178,349,186,365,5,7,27,18,4,147
"2034-05-29 08:07:14",672,134,325,159,328,2,8,29,25,5,134
"2034-06-29 13:04:34",215,168,398,177,398,5,13,29,9,6,151
"2034-06-14 02:31:15",904,138,302,80,365,4,2,14,86,6,342
"2034-04-10 00:59:11",1086,153,310,150,358,2,0,10,48,4,159
"2034-06-06 07:37:03",418,159,329,155,349,3,7,6,20,6,172
"2034-02-17 10:21:29",998,161,344,147,332,6,10,17,18,2,65
"2034-02-11 20:04:10",908,121,443,158,371,7,20,11,81,2,321
"2034-04-11 17:41:53",300,155,355,154,343,3,17,11,12,4,144
"2034-06-05 12:09:03",774,167,368,161,336,2,12,5,33,6,153
"2034-01-22 00:38:54",613,134,295,145,327,1,0,22,34,1,200
"2034-07-13 23:06:39",334,153,323,149,337,5,23,13,15,7,162
