pickup_datetime,duration,pickup_x,pickup_y,dropoff_x,dropoff_y,weekday,hour_,day_,distance,month_,speed
"2034-06-23 07:10:32",1033,129,283,150,336,6,7,23,57,6,199
"2034-05-14 09:29:10",984,126,318,77,300,1,9,14,52,5,190
"2034-04-17 09:59:00",263,150,350,156,358,2,9,17,10,4,137
"2034-02-26 13:25:32",38,146,304,145,304,1,13,26,1,2,95
"2034-03-26 14:19:17",388,174,356,160,366,1,14,26,17,3,158
"2034-06-19 14:34:29",985,137,330,108,423,2,14,19,97,6,355
"2034-05-19 12:57:46",1550,131,285,139,335,6,12,19,51,5,118
"2034-02-03 10:05:36",1205,148,352,135,293,6,10,3,60,2,179
"2034-04-13 01:57:42",862,128,317,152,309,5,1,13,25,4,104
"2034-02-14 17:14:35",638,164,321,159,352,3,17,14,31,2,175
"2034-05-08 20:25:38",691,145,323,154,353,2,20,8,31,5,162
"2034-03-22 15:56:49",394,154,370,166,366,4,15,22,13,3,119
"2034-07-09 09:14:35",107,184,360,179,351,1,9,9,10,7,336
"2034-02-02 17:32:39",743,121,287,140,337,5,17,2,53,2,257
"2034-03-02 21:25:31",424,152,345,163,372,5,21,2,29,3,246
"2034-06-21 09:00:44",911,162,369,173,333,4,9,21,38,6,150
"2034-05-13 12:34:38",1395,149,322,115,446,7,12,13,129,5,333
"2034-04-05 10:45:32",467,148,348,148,339,4,10,5,9,4,69
"2034-05-12 19:33:47",488,144,321,136,305,6,19,12,18,5,133
"2034-04-06 10:25:26",501,154,324,136,299,5,10,6,31,4,223
"2034-04-26 21:55:15",436,174,357,162,373,4,21,26,20,4,165
"2034-04-10 08:52:06",211,157,332,157,348,2,8,10,16,4,273
"2034-06-06 16:36:24",384,158,339,150,341,3,16,6,8,6,75
"2034-07-09 07:45:34",278,169,347,163,343,1,7,9,7,7,91
"2034-03-06 22:30:29",85,165,325,161,332,2,22,6,8,3,339
"2034-03-28 17:01:04",148,155,360,158,358,3,17,28,4,3,97
"2034-06-08 19:25:27",206,160,350,160,365,5,19,8,15,6,262
"2034-02-08 14:25:31",214,153,305,162,311,4,14,8,11,2,185
"2034-06-13 18:29:05",312,181,365,165,376,3,18,13,19,6,219
"2034-05-01 09:51:24",340,158,357,145,334,2,9,1,26,5,275
"2034-02-13 18:08:45",290,147,328,145,338,2,18,13,10,2,124
"2034-02-08 20:23:48",1422,137,298,128,389,4,20,8,91,2,230
"2034-02-24 08:27:22",1035,168,371,147,338,6,8,24,39,2,136
"2034-06-10 23:55:41",547,169,342,148,328,7,23,10,25,6,165
"2034-06-01 17:51:46",396,147,350,159,375,5,17,1,28,6,255
"2034-04-13 10:14:23",1881,163,340,125,281,5,10,13,70,4,134
"2034-05-06 11:24:16",540,163,356,155,341,7,11,6,17,5,113
"2034-03-23 11:45:08",2174,158,314,171,375,5,11,23,62,3,103
"2034-03-07 15:11:32",388,155,312,140,299,3,15,7,20,3,186
"2034-06-26 22:22:35",353,162,339,151,320,2,22,26,22,6,224
"2034-02-09 00:09:43",611,135,301,135,288,5,0,9,13,2,77
"2034-03-25 17:54:32",490,161,345,172,336,7,17,25,14,3,103
"2034-04-30 09:25:05",659,150,332,168,319,1,9,30,22,4,120
"2034-04-20 00:46:35",476,179,350,156,363,5,0,20,26,4,197
"2034-06-20 19:15:51",449,136,311,146,303,3,19,20,13,6,104
"2034-06-24 05:32:42",1352,154,374,-34,456,7,5,24,205,6,546
"2034-06-17 23:06:07",280,138,304,148,316,7,23,17,16,6,206
"2034-06-17 20:55:15",1161,151,307,129,321,7,20,17,26,6,81
"2034-02-06 12:20:26",332,155,342,159,330,2,12,6,13,2,141
"2034-03-06 20:53:13",285,178,351,170,348,2,20,6,9,3,114
"2034-06-28 09:15:01",276,149,324,149,323,4,9,28,1,6,13
"2034-06-22 14:28:06",497,158,339,160,334,5,14,22,5,6,36
"2034-07-06 23:59:33",1464,124,307,74,356,5,23,6,70,7,172
"2034-04-15 10:01:09",410,147,324,156,310,7,10,15,17,4,149
"2034-02-16 14:17:40",524,149,339,148,351,5,14,16,12,2,82
"2034-03-16 19:52:59",526,145,329,156,313,5,19,16,19,3,130
"2034-02-26 18:39:27",847,131,320,120,288,1,18,26,34,2,145
"2034-02-17 08:58:02",357,168,339,159,339,6,8,17,9,2,91
